Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append",751,0.04,751,0.04,"1,113",0,"1,113",0,
"operator new",741,0.04,741,0.04,16,0,16,0,
"std::_Uninitialized_default_fill_n1<genome * __ptr64,unsigned __int64,std::allocator<genome> >",736,0.04,736,0.04,458,0,458,0,
"memcpy",691,0.04,691,0.04,136,0,136,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct<unsigned char * __ptr64>",672,0.03,672,0.03,884,0,884,0,
"memset",639,0.03,639,0.03,80,0,80,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Tidy",636,0.03,636,0.03,"1,636",0,"1,636",0,
"memcmp",606,0.03,606,0.03,138,0,138,0,
"roulette_wheel_selection",584,0.03,584,0.03,69,0,69,0,
"roulette_wheel_selection",549,0.03,549,0.03,73,0,73,0,
"memcmp",548,0.03,548,0.03,129,0,129,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Tidy",529,0.03,529,0.03,"1,637",0,"1,637",0,
"memcmp",521,0.03,521,0.03,132,0,132,0,
"memcmp",517,0.03,517,0.03,135,0,135,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",491,0.03,491,0.03,748,0,748,0,
"std::swap<genome,void>",469,0.02,585,0.03,50,0,50,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Tidy",454,0.02,"26,406",1.37,"1,641",0,"1,641",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",447,0.02,447,0.02,"1,001",0,"1,001",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",436,0.02,436,0.02,980,0,980,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Tidy",434,0.02,434,0.02,"1,647",0,"1,647",0,
"operator delete",431,0.02,431,0.02,15,0,15,0,
"operator new",427,0.02,"48,288",2.51,19,0,19,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",422,0.02,"24,795",1.29,"1,017",0,"1,017",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back",417,0.02,417,0.02,912,0,912,0,
"std::_Wrap_alloc<std::allocator<unsigned int> >::allocate",412,0.02,412,0.02,975,0,975,0,
"decode",407,0.02,407,0.02,158,0,158,0,
"malloc",395,0.02,395,0.02,0,0,0,0,
"check_guess",388,0.02,"7,646",0.40,181,0,181,0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back",384,0.02,384,0.02,896,0,896,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",374,0.02,374,0.02,"1,561",0,"1,561",0,
"decode",358,0.02,358,0.02,148,0,148,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",355,0.02,"11,756",0.61,"1,019",0,"1,019",0,
"malloc",345,0.02,345,0.02,0,0,0,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",337,0.02,337,0.02,"2,182",0,"2,182",0,
"comp_by_fitness",335,0.02,335,0.02,50,0,50,0,
"std::swap<genome,void>",324,0.02,324,0.02,48,0,48,0,
"mutate",319,0.02,319,0.02,102,0,102,0,
"memset",311,0.02,311,0.02,81,0,81,0,
"operator new",306,0.02,306,0.02,38,0,38,0,
"decode",301,0.02,301,0.02,140,0,140,0,
"free",292,0.02,292,0.02,0,0,0,0,
"roulette_wheel_selection",291,0.02,291,0.02,64,0,64,0,
"comp_by_fitness",289,0.02,289,0.02,49,0,49,0,
"roulette_wheel_selection",285,0.01,285,0.01,76,0,76,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()",276,0.01,276,0.01,"1,354",0,"1,354",0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower",263,0.01,263,0.01,"1,387",0,"1,387",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",240,0.01,707,0.04,"1,614",0,"1,614",0,
"check_guess",237,0.01,237,0.01,172,0,172,0,
"decode",233,0.01,233,0.01,139,0,139,0,
"cross_over",228,0.01,"6,390",0.33,84,0,84,0,
"memcmp",225,0.01,225,0.01,126,0,126,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",221,0.01,"5,845",0.30,749,0,749,0,
"std::basic_ostream<char,std::char_traits<char> >::put",218,0.01,218,0.01,542,0,542,0,
"mutate",217,0.01,217,0.01,103,0,103,0,
"memcpy",215,0.01,215,0.01,125,0,125,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",215,0.01,215,0.01,"1,011",0,"1,011",0,
"memcpy",214,0.01,214,0.01,101,0,101,0,
"memcmp",211,0.01,211,0.01,130,0,130,0,
"memcmp",208,0.01,208,0.01,136,0,136,0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",204,0.01,287,0.01,"2,644",0,"2,644",0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",201,0.01,201,0.01,"3,671",0,"3,671",0,
"cross_over",194,0.01,194,0.01,80,0,80,0,
"std::swap<genome,void>",194,0.01,194,0.01,49,0,49,0,
"std::swap<genome,void>",194,0.01,304,0.02,52,0,52,0,
"mutate",192,0.01,192,0.01,112,0,112,0,
"memcmp",186,0.01,186,0.01,127,0,127,0,
"cross_over",181,0.01,181,0.01,79,0,79,0,
"cross_over",181,0.01,181,0.01,82,0,82,0,
"epoch",180,0.01,"13,786",0.72,132,0,132,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",177,0.01,"23,584",1.23,"1,572",0,"1,572",0,
"decode",176,0.01,176,0.01,149,0,149,0,
"std::vector<unsigned char,std::allocator<unsigned char> >::vector<unsigned char,std::allocator<unsigned char> >",175,0.01,"4,935",0.26,718,0,718,0,
"update_epoch",171,0.01,171,0.01,166,0,166,0,
"std::_Wrap_alloc<std::allocator<unsigned int> >::allocate",170,0.01,170,0.01,977,0,977,0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",169,0.01,169,0.01,"2,704",0,"2,704",0,
"std::_Uninitialized_move_al_unchecked1<std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >",163,0.01,163,0.01,277,0,277,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower",163,0.01,163,0.01,"1,388",0,"1,388",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",159,0.01,"8,255",0.43,751,0,751,0,
"update_epoch",157,0.01,"90,055",4.68,167,0,167,0,
"check_guess",150,0.01,214,0.01,182,0,182,0,
"std::swap<genome,void>",148,0.01,243,0.01,51,0,51,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",148,0.01,148,0.01,992,0,992,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",148,0.01,148,0.01,"1,029",0,"1,029",0,
"epoch",147,0.01,"12,079",0.63,133,0,133,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",147,0.01,147,0.01,"2,210",0,"2,210",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct<unsigned char * __ptr64>",142,0.01,142,0.01,876,0,876,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",142,0.01,"8,355",0.43,718,0,718,0,
"epoch",140,0.01,"14,929",0.78,124,0,124,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Tidy",140,0.01,140,0.01,"1,643",0,"1,643",0,
"roulette_wheel_selection",138,0.01,"5,349",0.28,66,0,66,0,
"comp_by_fitness",137,0.01,137,0.01,51,0,51,0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",134,0.01,173,0.01,"2,645",0,"2,645",0,
"main",128,0.01,"64,851",3.37,220,0,220,0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",126,0.01,126,0.01,"2,711",0,"2,711",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",112,0.01,112,0.01,"1,574",0,"1,574",0,
"memset",105,0.01,105,0.01,54,0,54,0,
"memcmp",102,0.01,102,0.01,147,0,147,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",100,0.01,100,0.01,"1,562",0,"1,562",0,
"epoch",99,0.01,99,0.01,116,0,116,0,
"epoch",99,0.01,"13,928",0.72,125,0,125,0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",99,0.01,123,0.01,"3,663",0,"3,663",0,
"roulette_wheel_selection",98,0.01,98,0.01,63,0,63,0,
"memcmp",96,0.00,96,0.00,133,0,133,0,
"memcpy",94,0.00,94,0.00,121,0,121,0,
"memcpy",93,0.00,93,0.00,124,0,124,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",91,0.00,91,0.00,"2,186",0,"2,186",0,
"std::vector<unsigned char,std::allocator<unsigned char> >::vector<unsigned char,std::allocator<unsigned char> >",90,0.00,90,0.00,729,0,729,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",88,0.00,"5,292",0.28,"2,196",0,"2,196",0,
"std::vector<unsigned char,std::allocator<unsigned char> >::vector<unsigned char,std::allocator<unsigned char> >",88,0.00,88,0.00,717,0,717,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",87,0.00,87,0.00,717,0,717,0,
"memset",86,0.00,86,0.00,0,0,0,0,
"check_guess",83,0.00,"5,568",0.29,173,0,173,0,
"cross_over",83,0.00,83,0.00,81,0,81,0,
"epoch",83,0.00,"10,811",0.56,134,0,134,0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",82,0.00,82,0.00,"2,716",0,"2,716",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",82,0.00,82,0.00,"1,577",0,"1,577",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",81,0.00,164,0.01,"2,707",0,"2,707",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",81,0.00,81,0.00,"2,718",0,"2,718",0,
"std::vector<genome,std::allocator<genome> >::_Tidy",81,0.00,"9,829",0.51,"1,640",0,"1,640",0,
"__uncaught_exception",80,0.00,80,0.00,"1,906",0,"1,906",0,
"mutate",80,0.00,80,0.00,101,0,101,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",77,0.00,77,0.00,"1,028",0,"1,028",0,
"memset",76,0.00,76,0.00,62,0,62,0,
"mutate",76,0.00,76,0.00,110,0,110,0,
"cross_over",75,0.00,75,0.00,98,0,98,0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Tidy",73,0.00,"6,679",0.35,"1,640",0,"1,640",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back",73,0.00,73,0.00,916,0,916,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",73,0.00,73,0.00,"1,564",0,"1,564",0,
"memset",70,0.00,70,0.00,169,0,169,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",69,0.00,69,0.00,729,0,729,0,
"__security_check_cookie",68,0.00,68,0.00,0,0,0,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",68,0.00,68,0.00,757,0,757,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",67,0.00,67,0.00,"2,213",0,"2,213",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",64,0.00,178,0.01,"2,714",0,"2,714",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back",64,0.00,64,0.00,897,0,897,0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back",64,0.00,"5,068",0.26,910,0,910,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",62,0.00,"1,280",0.07,721,0,721,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",60,0.00,60,0.00,745,0,745,0,
"memcpy",59,0.00,59,0.00,111,0,111,0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",59,0.00,59,0.00,"2,730",0,"2,730",0,
"memcmp",57,0.00,57,0.00,141,0,141,0,
"memset",55,0.00,55,0.00,72,0,72,0,
"roulette_wheel_selection",55,0.00,55,0.00,65,0,65,0,
"memcpy",53,0.00,53,0.00,115,0,115,0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",52,0.00,427,0.02,"1,615",0,"1,615",0,
"memset",51,0.00,51,0.00,153,0,153,0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back",50,0.00,50,0.00,909,0,909,0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",48,0.00,48,0.00,"2,632",0,"2,632",0,
"decode",47,0.00,"9,867",0.51,141,0,141,0,
"cross_over",46,0.00,"5,899",0.31,86,0,86,0,
"memcpy",46,0.00,46,0.00,108,0,108,0,
"memset",46,0.00,46,0.00,154,0,154,0,
"memcpy",45,0.00,45,0.00,129,0,129,0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",45,0.00,195,0.01,"2,705",0,"2,705",0,
"epoch",44,0.00,"5,898",0.31,120,0,120,0,
"memcpy",43,0.00,43,0.00,109,0,109,0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",43,0.00,43,0.00,"2,709",0,"2,709",0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",43,0.00,43,0.00,"3,674",0,"3,674",0,
"memcpy",42,0.00,42,0.00,130,0,130,0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",41,0.00,237,0.01,"2,712",0,"2,712",0,
"std::_Uninitialized_default_fill_n1<genome * __ptr64,unsigned __int64,std::allocator<genome> >",41,0.00,41,0.00,457,0,457,0,
"memcpy",40,0.00,40,0.00,133,0,133,0,
"memcpy",39,0.00,39,0.00,116,0,116,0,
"memset",39,0.00,39,0.00,140,0,140,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",39,0.00,39,0.00,"2,214",0,"2,214",0,
"memset",38,0.00,38,0.00,77,0,77,0,
"epoch",35,0.00,"21,325",1.11,129,0,129,0,
"memcpy",33,0.00,33,0.00,134,0,134,0,
"std::basic_ostream<char,std::char_traits<char> >::operator<<",32,0.00,32,0.00,322,0,322,0,
"epoch",31,0.00,"824,619",42.89,131,0,131,0,
"std::vector<unsigned char,std::allocator<unsigned char> >::vector<unsigned char,std::allocator<unsigned char> >",31,0.00,378,0.02,721,0,721,0,
"memcpy",30,0.00,30,0.00,131,0,131,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",30,0.00,30,0.00,"2,207",0,"2,207",0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower",30,0.00,30,0.00,"1,390",0,"1,390",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",29,0.00,29,0.00,723,0,723,0,
"main",28,0.00,28,0.00,219,0,219,0,
"memcpy",28,0.00,28,0.00,113,0,113,0,
"std::basic_streambuf<char,std::char_traits<char> >::xsputn",28,0.00,28,0.00,401,0,401,0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",27,0.00,27,0.00,"1,611",0,"1,611",0,
"ceil",26,0.00,26,0.00,0,0,0,0,
"epoch",26,0.00,26,0.00,122,0,122,0,
"memcmp",26,0.00,26,0.00,106,0,106,0,
"memcmp",26,0.00,26,0.00,124,0,124,0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",25,0.00,25,0.00,"3,653",0,"3,653",0,
"decode",24,0.00,24,0.00,157,0,157,0,
"std::_Move_backward_unchecked<genome * __ptr64,genome * __ptr64>",23,0.00,31,0.00,"2,677",0,"2,677",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",23,0.00,23,0.00,981,0,981,0,
"epoch",22,0.00,22,0.00,126,0,126,0,
"memcpy",22,0.00,22,0.00,137,0,137,0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",22,0.00,93,0.00,"2,642",0,"2,642",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",22,0.00,"1,783",0.09,"1,602",0,"1,602",0,
"memcmp",21,0.00,21,0.00,92,0,92,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",21,0.00,21,0.00,"1,576",0,"1,576",0,
"memcmp",20,0.00,20,0.00,139,0,139,0,
"memcpy",20,0.00,20,0.00,117,0,117,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",20,0.00,20,0.00,"1,573",0,"1,573",0,
"epoch",19,0.00,19,0.00,127,0,127,0,
"std::_Move_backward_unchecked<genome * __ptr64,genome * __ptr64>",19,0.00,19,0.00,"2,676",0,"2,676",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",19,0.00,626,0.03,"2,710",0,"2,710",0,
"std::basic_ios<char,std::char_traits<char> >::widen",19,0.00,19,0.00,131,0,131,0,
"std::basic_ostream<char,std::char_traits<char> >::operator<<",19,0.00,19,0.00,332,0,332,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower",19,0.00,19,0.00,"1,369",0,"1,369",0,
"std::vector<genome,std::allocator<genome> >::_Tidy",19,0.00,19,0.00,"1,636",0,"1,636",0,
"main",18,0.00,543,0.03,213,0,213,0,
"memcmp",18,0.00,18,0.00,84,0,84,0,
"std::basic_ostream<char,std::char_traits<char> >::put",18,0.00,18,0.00,549,0,549,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Tidy",18,0.00,18,0.00,"1,644",0,"1,644",0,
"cross_over",17,0.00,"5,715",0.30,87,0,87,0,
"memcmp",17,0.00,17,0.00,56,0,56,0,
